nome,preco,avaliacao,categoria
Xiaomi Redmi 14c 256gb 16gb Ram Dual Sim Fone+relogio Brinde,1300.61,,celular
Poco C71 Dual Sim 64 Gb Memoria 6 Gb Ram,593.24,,celular
"Celular Samsung Galaxy A16, 256gb + 8gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Preto",1855.56,,celular
Samsung Galaxy A25 5G Dual SIM 128Gb Azul Escuro 6Gb Ram,1570.17,,celular
Smartphone Motorola Moto G15 - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc Azul Escuro,1099.8,,celular
"Samsung Galaxy A05s 128 GB Dual SIM Tela Infinita de 6,7'' Cor Prata 6 GB RAM",1099.31,,celular
"Smartphone Samsung Galaxy A06 4G 128GB 4GB RAM Dual Chip Câmera Traseira 50+2MP Frontal 8MP Tela 6,7"" Android 14.0 Azul Escuro",899.56,,celular
"Smartphone Motorola Moto g05 - 128GB 12GB (4GB RAM + 8GB Ram Boost) e Camera 50MP com AI Bateria de 5200 mAh Tela 6.7"" com Superbrilho - Cinza",1138.9,,celular
Smartphone Motorola Moto G15 - 256gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc - Grafite,1449.67,,celular
"Smartphone Motorola Moto g35 5G - 256GB 12GB (4GB RAM+8GB Ram Boost) e Camera 50MP com AI NFC Tela 6.7"" com Superbrilho - Cinza",1863.9,,celular
Apple iPhone 16 (128 GB) - Preto - Distribuidor Autorizado,7799.25,,celular
Smartphone Moto G75 5g 256gb Vegan Leather Cor Azul Motorola,2399.44,,celular
"Smartphone Motorola Moto g35 5G - 128GB 12GB (4GB RAM+8GB Ram Boost) e Camera 50MP com AI NFC Tela 6.7"" com Superbrilho - Verde - Vegan Leather",1427.32,,celular
"Celular Samsung Galaxy A16 5g, 128gb + 4gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Azul Escuro",1570.72,,celular
Celular Samsung Galaxy S24 Fe 5g 128gb 8gb Ram Tela 6.7 Galaxy Ai,4070.5,,celular
Smartphone Moto G75 5g 256gb Vegan Leather Cor Cinza Motorola,2399.28,,celular
Celular Samsung Galaxy A56 5g 256gb 8gb Ram Verde,3499.9,,celular
Samsung Galaxy A56 5g 128gb 8gb Ram Verde,2999.75,,celular
"Celular Samsung Galaxy A26 5g 256gb, 8gb Ram, Câmera De 50mp, Ip67, Tela Super Amoled 6.7 , Nfc - Branco",1998.83,,celular
Samsung Galaxy A15 4G Dual SIM 128 GB Azul-claro 4 GB RAM,1069.1,,celular
iPhone 16e (128 GB) - Preto - Distribuidor Autorizado,5799.56,,celular
Apple iPhone 13 (128 GB) Meia-noite - Distribuidor Autorizado,6729.98,,celular
Samsung Galaxy A55 5G Dual SIM 256 GB Azul escuro 8 GB RAM,2999.61,,celular
Smartphone Motorola Moto g34 5G - 128GB 8GB (4GB RAM+4GB Ram Boost) AI Camera 50MP NFC,1427.05,,celular
Celular Realme Note 60 Dual Sim 64 Gb Azul 3 Gb Ram Preto,899.9,,celular
Samsung Galaxy S24 Galaxy Ai 256GB Preto 8GB RAM,5699.94,,celular
Apple iPhone 14 (128 GB) - Meia noite - Distribuidor Autorizado,6239.92,,celular
"Celular Samsung Galaxy A16, 256gb + 8gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Cinza",1749.69,,celular
Smartphone Motorola Moto G35 5g - 256gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai Nfc Tela 6.7 Com Superbrilho - Coral - Vegan Leather,1863.54,,celular
Apple iPhone 15 (256 GB) - Preto - Distribuidor Autorizado,8095.07,,celular
"Celular Samsung Galaxy S24 Ultra, 256gb, 12gb Ram, 6.8 , Ai Cor Titânio-black",9199.9,,celular
"Samsung Galaxy S25 5G, 256GB, 12GB, Câmera Tripla - Azul claro",6999.25,,celular
"Smartphone Samsung Galaxy A25 5G 256GB 8GB Ram Dual SIM Android 14 Azul-Escuro 6,5''",1598.11,,celular
Apple iPhone 15 (128 GB) - Azul - Distribuidor Autorizado,7209.35,,celular
"Celular Samsung Galaxy A16, 128gb + 4gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Cinza",1549.1,,celular
"Celular Samsung Galaxy A16, 128gb + 4gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Verde Claro",1549.1,,celular
"Celular Samsung Galaxy A16 5g, 256gb + 8gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Azul Escuro",1949.9,,celular
"Samsung Galaxy S24 Fe 5g, 256gb, 8gb Ram, Tela 6.7 Cor Cinza-escuro",5699.11,,celular
Samsung Galaxy A06 Dual SIM 128 GB verde-claro 4 GB RAM (Novo com caixa aberta),899.99,,celular
Smartphone Motorola Moto G56 5g - 256gb 16gb (8gb Ram+8gb Ram Boost) Camera 50mp Sony Lytia 600 certificado de Ultrarresistencia Militar e Ip68 + Ip69 - Verde,1999.25,,celular
"Smartphone Motorola Moto G86 5g - 256gb 24gb (8gb Ram+16gb Ram Boost) Tela 1.5k Poled, 50mp Sony Camera Ois Moto Ai, Videos Em 4k, Ip68 + Ip69 - Vermelho",2499.55,,celular
"Smartphone Positivo Twist 5 64GB Dual Chip, Tela notch de 6.26”, Câmera Traseira e Frontal de 8MP, Android 12 Go – Black Rubber",698.57,,celular
Smartphone Realme C63 Dual Sim 128 Gb Azul 6 Gb Ram,1459.55,,celular
Celular Positivo P51 Flip 4G Dual Sim 128 MB Preto 42 MB RAM,225.16,,celular
"Smartphone Samsung Galaxy S24 FE 5G 256GB 8GB RAM Tela 6.7"" Galaxy AI - Azul",5699.22,,celular
Apple iPhone 16 (256 GB) - Branco - Distribuidor Autorizado,8599.68,,celular
iPhone 16e (256 Gb) - Preto - Distribuidor Autorizado,6599.19,,celular
Smartphone Motorola Edge 60 Pro 5g - 256gb 24gb (12gb Ram+12gb Ram Boost) Tela Quad-curve Moto Ai 50mp Sony Camera Ultrarresistencia Militar Ip68 + Ip69 - Violeta,4299.9,,celular
Celular Up Play Multilaser Dual Chip Câmera Preto P9076,101.01,,celular
Apple iPhone 16 Pro Max (256 GB) - Titânio natural - Distribuidor Autorizado,10306.92,,celular
"Smartphone Moto G14 Dual SIM 6,5"" 128gb 4gb RAM Grafite Motorola",998.35,,celular
"Celular Feature Phone Positivo P41 48mb 128mb P/ Idoso 4g Tela 2,4'' Rádio Fm Preto",249.0,,celular
